x, y
0.01798165137614679, 42103.00429184549
0.06165137614678899, 41330.47210300429
0.06935779816513761, 40515.02145922747
0.0744954128440367, 39356.223175965664
0.08220183486238532, 38197.424892703864
0.09247706422018348, 37124.46351931331
0.09761467889908257, 36051.50214592274
0.10788990825688073, 34763.94849785408
0.1181651376146789, 33261.80257510729
0.14128440366972475, 32060.08583690987
0.20807339449541284, 31330.472103004293
0.26715596330275226, 31201.716738197425
0.3365137614678899, 31072.961373390557
0.4187155963302752, 30944.20600858369
0.5086238532110091, 30815.450643776825
0.5908256880733944, 30944.20600858369
0.6627522935779816, 31373.390557939914
0.7372477064220183, 31072.961373390557
0.8271559633027522, 31072.961373390557
0.9042201834862384, 30944.20600858369
0.9915596330275229, 30987.124463519314
1.0814678899082568, 31072.961373390557
1.1585321100917432, 31115.87982832618
1.2176146788990825, 31201.716738197425
1.2689908256880733, 31416.309012875536
1.2689908256880733, 31416.309012875536
1.299816513761468, 32231.75965665236
1.3126605504587154, 33605.15021459227
1.3203669724770641, 34678.11158798283
1.333211009174312, 35793.991416309014
1.3357798165137613, 36995.708154506436
1.3537614678899081, 38068.66952789699
1.3614678899082568, 39270.38626609442
1.3691743119266055, 40386.2660944206
1.376880733944954, 41630.90128755364
1.4179816513761467, 42017.16738197425
1.4513761467889907, 41931.330472103
0.04623853211009174, 41845.49356223176
