Energy of the beam before the diffusor : 24.9145
Energy of the beam after the diffusor : 23.072851472922874
Energy of the beam at the 'sortie air' : 22.83456788101578
****************Energy of the beam at the end of the collimator: 
position	thickness alu (mm)	energie
0	0	22.74516509213119
1	0.147	22.01635730291293
2	0.29	21.31875051761122
3	0.431	20.550980178667857
4	0.568	19.867082877265236
5	0.701	19.10940992170777
6	0.842	18.327573951798993
7	0.99	17.518847982018325
8	1.133	16.618728454965975
9	1.278	15.742968944712176
10	1.424	14.760485793154961
11	1.564	13.795159053933569
12	1.714	12.698754909667837
13	1.862	11.523284871473852
14	2.007	10.335039998629782
15	2.156	8.930763528577728
16	2.296	7.4441422659579235
17	2.448	5.537886337965998
18	2.599	2.8730062373391827
19	2.761	0
