x, y
0.01442885771543086, 42488.26291079812
0.02404809619238477, 40985.91549295775
0.033667334669338675, 39812.20657276995
0.05050100200400801, 38497.65258215962
0.05531062124248497, 37323.94366197183
0.0625250501002004, 36103.28638497653
0.07695390781563126, 34741.78403755868
0.0841683366733467, 33521.12676056338
0.10581162324649299, 32253.521126760563
0.13947895791583165, 31596.244131455398
0.18276553106212423, 32018.779342723006
0.22364729458917834, 31877.93427230047
0.26452905811623245, 31549.295774647886
0.3222444889779559, 31549.295774647886
0.3943887775551102, 31549.295774647886
0.4496993987975952, 31173.708920187793
0.514629258517034, 31126.76056338028
0.574749498997996, 30985.915492957745
0.6420841683366734, 30985.915492957745
0.7286573146292585, 30985.915492957745
0.8104208416833667, 30892.01877934272
0.8801603206412826, 30938.967136150233
0.942685370741483, 31079.81220657277
1.0052104208416832, 31032.863849765257
1.0557114228456914, 31126.76056338028
1.1110220440881764, 31173.708920187793
1.1687374749498998, 31314.55399061033
1.2192384769539077, 31549.295774647886
1.245691382765531, 32582.159624413147
1.2649298597194387, 33896.71361502347
1.2817635270541081, 35399.06103286385
1.2889779559118235, 36666.666666666664
1.2937875751503005, 37934.272300469485
1.301002004008016, 39154.92957746479
1.3130260521042083, 40563.380281690144
1.332264529058116, 41924.88262910798
1.361122244488978, 42253.52112676056
0.02885771543086172, 41830.98591549296
