Energy of the beam before the diffusor : 24.9145
Energy of the beam after the diffusor : 24.00744246796799
Energy of the beam at the 'sortie air' : 23.776482520861308
****************Energy of the beam at the end of the collimator: 
position	thickness alu (mm)	energie
0	0	23.69003946750678
1	0.147	22.984622201611714
2	0.29	22.310657714344696
3	0.431	21.570453548861217
4	0.568	20.912600423630387
5	0.701	20.185579933199577
6	0.842	19.437557878707683
7	0.99	18.666403252357888
8	1.133	17.811587049366942
9	1.278	16.98390190906017
10	1.424	16.060750302401726
11	1.564	15.160182204123613
12	1.714	14.146547883757624
13	1.862	13.073020478750234
14	2.007	12.005112067019608
15	2.156	10.772011844057618
16	2.296	9.512809066773892
17	2.448	8.000867301241083
18	2.599	6.224647863535303
19	2.761	3.529691036366815
